#Sci_name	taxid	Color	hex_code
Ephydatia muelleri	6052	bluish green	#009E73
Tethya wilhelma	463344	bluish green	#009E73
Cliona varians	297654	bluish green	#009E73
Amphimedon queenslandica	400682	bluish green	#009E73
Rossella fibulata	1076269	bluish green	#009E73
Sympagella nux	76350	bluish green	#009E73	
Aphrocallistes vastus	83887	bluish green	#009E73
Oscarella carmela	386100	bluish green	#009E73
Leucosolenia complicata	433461	bluish green	#009E73
Sycon ciliatum	27933	bluish green	#009E73
Capsaspora owczarzaki	192875	black	#000000
Capitella teleta	283909	blue	#0072B2
Homo sapiens	9606	vermillion	#D55E00
Tetranychus urticae	32264	sky blue	#56B4E9
Lottia gigantea	225164	blue	#0072B2
Mnemiopsis leidyi	27923	orange	#E69F00
Lingula anatina	7574	blue	#0072B2
Glycera tridactyla	104710	blue	#0072B2
Ciona intestinalis	7719	vermillion	#D55E00
Xenopus tropicalis	8364	vermillion	#D55E00
Hormiphora californensis	1403702	orange	#E69F00
Branchiostoma floridae	7739	vermillion	#D55E00
Gallus gallus	9031	vermillion	#D55E00
Phyllodoce medipapillata	868040	blue	#0072B2
Helobdella robusta	6412	blue	#0072B2
Platynereis dumerilii	6359	blue	#0072B2
Aplysia californica	6500	blue	#0072B2
Crassostrea gigas	29159	blue	#0072B2
Alvinella pompejana	6376	blue	#0072B2
Mus musculus	10090	vermillion	#D55E00
Nephtys caeca	714603	blue	#0072B2
Strigamia maritima	126957	sky blue	#56B4E9
Saccoglossus kowalevskii	10224	reddish purple	#CC79A7
Strongylocentrotus purpuratus	7668	reddish purple	#CC79A7
Trichoplax adhaerens	10228	yellow	#F0E442
Nematostella vectensis	45351	orange	#E69F00
Caenorhabditis elegans	6239	sky blue	#56B4E9
Salpingoeca rosetta	946362	black	#000000
Corticium candelabrum	121492	bluish green	#009E73
Daphnia pulex	6669	sky blue	#56B4E9
Tribolium castaneum	7070	sky blue	#56B4E9
Loa loa	7209	sky blue	#56B4E9
Sphaeroforma arctica	72019	black	#000000
Monosiga brevicollis	81824	black	#000000
Hydra vulgaris	6087	orange	#E69F00
Harmothoe extenuata	1486853	blue	#0072B2
Marphysa bellii	188456	blue	#0072B2
Hymenolepis microstoma	85433	blue	#0072B2
Drosophila melanogaster	7227	sky blue	#56B4E9
Schistosoma mansoni	6183	blue	#0072B2
Acropora digitifera	70779	orange	#E69F00
Eunice torquata	120503	blue	#0072B2
Spongilla lacustris	6055	bluish green	#009E73
